DrugBank_ID,Protein_UID,Action,Gene_Name
DB00006,P00734,inhibitor,F2
DB00006,P05164,inhibitor,MPO
DB00014,P22888,agonist,LHCGR
DB00014,P01148,activator,GNRH1
DB00014,P30968,agonist,GNRHR
DB00027,P0AC13,binder,folP
DB00035,P30559,agonist,OXTR
DB00035,P30518,agonist,AVPR2
DB00035,P37288,agonist,AVPR1A
DB00035,P47901,agonist,AVPR1B
DB00035,P35354,inducer,PTGS2
DB00035,P23219,inducer,PTGS1
DB00080,P0AC13,binder,folP
DB00091,P49069,binder,CAMLG
DB00091,Q08209,inhibitor,PPP3CA
DB00091,Q96LZ3,inhibitor,PPP3R2
DB00091,P62937,inhibitor,PPIA
DB00091,P62937,binder,PPIA
DB00091,P30405,binder,PPIF
DB00091,P33261,inhibitor,CYP2C19
DB00091,P10635,inhibitor,CYP2D6
DB00091,P20815,substrate,CYP3A5
DB00091,P08684,substrate,CYP3A4
DB00091,P08684,inhibitor,CYP3A4
DB00104,P30874,binder,SSTR2
DB00104,P05164,inhibitor,MPO
DB00104,P08684,inhibitor,CYP3A4
DB00115,Q99707,cofactor,MTR
DB00115,P22033,cofactor,MMUT
DB00115,Q9UBK8,cofactor,MTRR
DB00115,Q8IVH4,binder,MMAA
DB00115,Q9Y4U1,cofactor,MMACHC
DB00115,P42898,cofactor,MTHFR
DB00115,Q96EY8,substrate,MMAB
DB00115,Q05599,product of,cobU
DB00120,P07101,binder,TH
DB00122,Q15822,inhibitor,CHRNA2
DB00122,Q9Y5K3,product of,PCYT1B
DB00122,P22303,product of,ACHE
DB00122,P49585,product of,PCYT1A
DB00122,O14939,product of,PLD2
DB00122,P06276,product of,BCHE
DB00122,Q13393,product of,PLD1
DB00122,Q8TCT1,product of,PHOSPHO1
DB00122,Q9Y6K0,substrate,CEPT1
DB00122,Q9Y259,substrate,CHKB
DB00122,P28329,substrate,CHAT
DB00122,P35790,substrate,CHKA
DB00122,Q8NE62,substrate,CHDH
DB00126,Q9UGH3,modulator,SLC23A2
DB00126,Q9UHI7,modulator,SLC23A1
DB00126,Q54873,inhibitor,
DB00126,P24300,substrate,xylA
DB00126,O00469,cofactor,PLOD2
DB00126,O14832,cofactor,PHYH
DB00126,O60568,cofactor,PLOD3
DB00126,O75936,cofactor,BBOX1
DB00126,P09172,cofactor,DBH
DB00126,P19021,cofactor,PAM
DB00126,Q32P28,cofactor,P3H1
DB00126,Q8IVL5,cofactor,P3H2
DB00126,Q8IVL6,cofactor,P3H3
DB00126,P13674,cofactor,P4HA1
DB00126,Q8N543,cofactor,OGFOD1
DB00126,Q6N063,cofactor,OGFOD2
DB00126,Q6NS38,activator,ALKBH2
DB00126,Q96Q83,activator,ALKBH3
DB00126,Q9BY66,cofactor,KDM5D
DB00126,Q02809,cofactor,PLOD1
DB00126,Q9NVH6,cofactor,TMLHE
DB00126,Q9NXG6,cofactor,P4HTM
DB00126,Q9GZT9,cofactor,EGLN1
DB00126,Q96KS0,cofactor,EGLN2
DB00126,Q9H6Z9,cofactor,EGLN3
DB00126,Q16881,substrate,TXNRD1
DB00130,P17812,antagonist,CTPS1
DB00130,P17812,substrate,CTPS1
DB00130,Q06203,substrate,PPAT
DB00130,P15104,product of,GLUL
DB00130,P00488,substrate,F13A1
DB00130,O94925,substrate,GLS
DB00130,Q9UI32,substrate,GLS2
DB00130,P21980,substrate,TGM2
DB00130,O43548,substrate,TGM5
DB00130,O95932,substrate,TGM6
DB00130,P22735,substrate,TGM1
DB00130,P49221,substrate,TGM4
DB00130,Q08188,substrate,TGM3
DB00130,Q96PF1,substrate,TGM7
DB00130,P49915,substrate,GMPS
DB00130,P08243,substrate,ASNS
DB00130,Q16773,substrate,KYAT1
DB00130,O15067,substrate,PFAS
DB00130,O75879,substrate,GATB
DB00130,O94808,substrate,GFPT2
DB00130,P27708,substrate,CAD
DB00130,P47897,substrate,QARS1
DB00130,Q6IA69,substrate,NADSYN1
DB00134,Q9UBK8,product of,MTRR
DB00134,Q99707,product of,MTR
DB00134,P50579,product of,METAP2
DB00134,Q93088,product of,BHMT
DB00134,Q9H2M3,product of,BHMT2
DB00134,P31153,substrate,MAT2A
DB00134,Q9Y3D2,substrate,MSRB2
DB00134,Q00266,substrate,MAT1A
DB00134,Q9NZV6,substrate,MSRB1
DB00134,Q9UJ68,substrate,MSRA
DB00134,P56192,substrate,MARS1
DB00134,Q96GW9,substrate,MARS2
DB00134,Q9NZL9,substrate,MAT2B
DB00134,Q9H2M3,product of,BHMT2
DB00134,P15104,inhibitor,GLUL
DB00134,P42898,inhibitor,MTHFR
DB00136,P11473,agonist,VDR
DB00136,Q07973,substrate,CYP24A1
DB00136,Q07973,inducer,CYP24A1
DB00136,P08684,substrate,CYP3A4
DB00136,P08684,inducer,CYP3A4
DB00140,Q969G6,ligand,RFK
DB00140,P0AFU8,other,ribC
DB00140,P30043,product of,BLVRB
DB00140,P21397,cofactor,MAOA
DB00140,P42898,cofactor,MTHFR
DB00142,P48506,substrate,GCLC
DB00142,P49448,substrate,GLUD2
DB00142,Q6IA69,product of,NADSYN1
DB00142,Q8TD30,substrate,GPT2
DB00142,Q8TD30,product of,GPT2
DB00142,P17174,substrate,GOT1
DB00146,P11473,agonist,VDR
DB00146,O15528,substrate,CYP27B1
DB00146,Q07973,substrate,CYP24A1
DB00150,P14902,binder,IDO1
DB00150,P23381,inhibitor,WARS1
DB00150,P00953,inhibitor,trpS
DB00150,Q9UGM6,inhibitor,WARS2
DB00150,P00953,substrate,trpS
DB00150,P00953,inhibitor,trpS
DB00150,Q9UGM6,substrate,WARS2
DB00150,Q9UGM6,inhibitor,WARS2
DB00150,P17752,substrate,TPH1
DB00150,Q8IWU9,substrate,TPH2
DB00150,P23381,substrate,WARS1
DB00150,P23381,inhibitor,WARS1
DB00150,P14902,substrate,IDO1
DB00150,P48775,substrate,TDO2
DB00150,P20711,substrate,DDC
DB00152,Q9H3S4,substrate,TPK1
DB00152,P0AFG8,cofactor,aceE
DB00152,P13584,inducer,CYP4B1
DB00152,Q9H3S4,substrate,TPK1
DB00152,O75356,substrate,ENTPD5
DB00152,Q9BU02,substrate,THTPA
DB00153,P11473,agonist,VDR
DB00153,Q06432,inducer,CACNG1
DB00153,Q96AT9,substrate,RPE
DB00153,P05108,substrate,CYP11A1
DB00153,Q07973,substrate,CYP24A1
DB00153,O15528,substrate,CYP27B1
DB00153,Q02318,substrate,CYP27A1
DB00153,Q6VVX0,substrate,CYP2R1
DB00158,Q96NT5,modulator,SLC46A1
DB00158,P41440,modulator,SLC19A1
DB00158,P41439,binder,FOLR3
DB00158,P14207,binder,FOLR2
DB00158,Q92820,substrate,GGH
DB00158,P42898,substrate,MTHFR
DB00158,P00374,substrate,DHFR
DB00162,P48443,binder,RXRG
DB00162,P05090,ligand,APOD
DB00162,P41222,ligand,PTGDS
DB00162,Q96NR8,substrate,RDH12
DB00162,Q92781,substrate,RDH5
DB00162,Q8NBN7,substrate,RDH13
DB00162,O94788,substrate,ALDH1A2
DB00162,P00352,substrate,ALDH1A1
DB00162,O95237,substrate,LRAT
DB00162,O75911,substrate,DHRS3
DB00162,P47895,substrate,ALDH1A3
DB00162,Q6NUM9,substrate,RETSAT
DB00162,Q8TC12,substrate,RDH11
DB00162,Q9BTZ2,substrate,DHRS4
DB00162,Q9HBH5,substrate,RDH14
DB00162,Q9NYR8,substrate,RDH8
