drug_A,drug_B,DDI
DB00855,DB00460,0
DB09536,DB00460,0
DB11630,DB00460,0
DB06261,DB00460,0
DB01878,DB00460,0
DB00140,DB00460,0
DB00821,DB00460,0
DB00670,DB06148,1
DB09076,DB01090,1
DB00391,DB00462,1
DB00986,DB00332,1
DB00391,DB00670,1
DB01409,DB00496,1
DB09076,DB06702,1
DB01409,DB01036,1
DB08897,DB01090,1
DB01591,DB06148,1
DB08897,DB00940,1
DB00986,DB00732,1
DB00986,DB01116,1
DB09076,DB00670,1
DB01409,DB01591,1
DB00986,DB00747,1
DB00986,DB00517,1
DB00391,DB01591,1
DB00986,DB01199,1
DB01090,DB06148,1
DB00434,DB01171,1
DB00283,DB00614,1
DB09076,DB00483,1
DB00986,DB00908,1
DB01409,DB00462,1
DB00986,DB12278,1
DB00986,DB00424,1
DB01409,DB06702,1
DB00986,DB00572,1
DB00986,DB01062,1
DB00986,DB00219,1
DB01409,DB00986,1
DB06153,DB00614,1
DB08897,DB01036,1
DB09076,DB01036,1
DB06153,DB01171,1
DB08897,DB06702,1
DB01071,DB01171,1
DB00986,DB00915,1
DB00986,DB01338,1
DB01409,DB01090,1
DB00366,DB09245,1
DB00283,DB01171,1
DB08897,DB00986,1
DB00986,DB00209,1
DB00986,DB01173,1
DB00366,DB00614,1
DB01409,DB00670,1
DB00986,DB00967,1
DB00986,DB06148,1
DB00391,DB01036,1
DB00391,DB00940,1
DB00366,DB01171,1
DB00986,DB00376,1
DB08897,DB00670,1
DB08897,DB00462,1
DB00391,DB00496,1
DB00986,DB00657,1
DB01036,DB06148,1
DB00434,DB09245,1
DB00483,DB06148,1
DB00986,DB00979,1
DB08897,DB01591,1
DB00986,DB00387,1
DB00986,DB00782,1
DB00391,DB01090,1
DB00391,DB00483,1
DB00496,DB06148,1
DB01071,DB09245,1
DB00986,DB00810,1
DB00986,DB00392,1
DB00986,DB01337,1
DB00940,DB06148,1
DB00391,DB00986,1
DB01071,DB00614,1
DB08897,DB00483,1
DB00434,DB00614,1
DB00986,DB00809,1
DB00986,DB00804,1
DB00462,DB06148,1
DB01409,DB00940,1
DB09076,DB00986,1
DB00986,DB01339,1
DB00986,DB11315,1
DB09076,DB00496,1
DB00986,DB00245,1
DB09076,DB01591,1
DB09076,DB00940,1
DB00283,DB09245,1
DB01409,DB00483,1
DB08897,DB00496,1
DB00391,DB06702,1
DB00986,DB09300,1
DB09076,DB00462,1
DB00986,DB00340,1
DB06153,DB09245,1
DB09275,DB04574,2
DB09275,DB00635,2
DB03754,DB00860,2
DB03754,DB00741,2
DB09281,DB00394,2
DB09275,DB00253,2
DB03754,DB13158,2
DB09275,DB00959,2
DB09275,DB00223,2
DB01390,DB00288,2
DB08938,DB00394,2
DB03754,DB01234,2
DB03754,DB00635,2
DB03754,DB00223,2
DB13595,DB06781,2
DB09275,DB11921,2
DB09275,DB01384,2
DB09275,DB01380,2
DB09275,DB00596,2
DB09281,DB08971,2
DB01390,DB06781,2
DB03754,DB00253,2
DB01377,DB00288,2
DB09281,DB01222,2
DB03754,DB00896,2
DB03754,DB00959,2
DB09275,DB00180,2
DB09281,DB00324,2
DB09275,DB09091,2
DB09275,DB09095,2
DB06723,DB00687,2
DB09275,DB00591,2
DB09281,DB06781,2
DB08938,DB08971,2
DB06724,DB00394,2
DB06724,DB00687,2
DB08938,DB06781,2
DB06724,DB00324,2
DB06724,DB00873,2
DB09104,DB00873,2
DB09275,DB08970,2
DB09275,DB00240,2
DB01370,DB00288,2
DB01370,DB00324,2
DB09275,DB00620,2
DB01370,DB01222,2
DB01390,DB01222,2
