drug_A,drug_B,DDI
DB08897,DB11315,1
DB08897,DB00424,1
DB01116,DB06148,1
DB00391,DB00517,1
DB01071,DB01168,1
DB08897,DB00732,1
DB01409,DB00810,1
DB00434,DB00805,1
DB08897,DB01409,1
DB06153,DB00182,1
DB01409,DB00967,1
DB00391,DB00219,1
DB00366,DB01037,1
DB00517,DB06148,1
DB09076,DB01339,1
DB00283,DB01247,1
DB00366,DB01168,1
DB08897,DB00387,1
DB00387,DB06148,1
DB00657,DB06148,1
DB09076,DB00572,1
DB09076,DB09300,1
DB00434,DB01247,1
DB00782,DB06148,1
DB08897,DB00782,1
DB00366,DB01247,1
DB00366,DB00182,1
DB01071,DB09244,1
DB00391,DB09076,1
DB01071,DB00780,1
DB00434,DB01037,1
DB08897,DB00332,1
DB09076,DB08897,1
DB00391,DB01199,1
DB09076,DB00387,1
DB00366,DB01367,1
DB00391,DB00209,1
DB00391,DB00732,1
DB09076,DB00332,1
DB00391,DB00908,1
DB11315,DB06148,1
DB08897,DB00517,1
DB08897,DB12278,1
DB00391,DB01116,1
DB08897,DB06148,1
DB01409,DB00657,1
DB00283,DB09244,1
DB09076,DB11315,1
DB00219,DB06148,1
DB00391,DB00782,1
DB01409,DB00376,1
DB00424,DB06148,1
DB00366,DB09244,1
DB06153,DB00752,1
DB00340,DB06148,1
DB08897,DB00209,1
DB00366,DB09241,1
DB01071,DB00805,1
DB09076,DB00209,1
DB00391,DB00332,1
DB09076,DB00376,1
DB01409,DB00908,1
DB12278,DB06148,1
DB01409,DB00387,1
DB00434,DB01168,1
DB00391,DB00967,1
DB08897,DB01338,1
DB08897,DB01339,1
DB09076,DB00657,1
DB00376,DB06148,1
DB01409,DB00392,1
DB01409,DB00782,1
DB01339,DB06148,1
DB01409,DB00572,1
DB09076,DB00809,1
DB00283,DB00805,1
DB00434,DB00752,1
DB09076,DB00908,1
DB01409,DB00209,1
DB01409,DB06148,1
DB08897,DB09300,1
DB00391,DB00424,1
DB01409,DB11315,1
DB01338,DB06148,1
DB08897,DB00219,1
DB06153,DB01168,1
DB00391,DB01338,1
DB01409,DB00332,1
DB00391,DB01339,1
DB08897,DB00747,1
DB00434,DB00182,1
DB00366,DB00752,1
DB01173,DB06148,1
DB09076,DB00219,1
DB00332,DB06148,1
DB00434,DB01367,1
DB00391,DB01337,1
DB09076,DB00424,1
DB09076,DB00782,1
DB00391,DB00392,1
DB01409,DB00219,1
DB01337,DB06148,1
DB09076,DB01199,1
DB08897,DB00340,1
DB00283,DB01168,1
